station_id,von_datum,bis_datum,geoBreite,geoLaenge
02536,19830901,19921231,51.3173,9.4145
02542,19700501,20160331,47.8652,10.6007
02543,19680101,20081231,48.0916,10.8609
02546,19881001,20031231,48.5576,7.8800
02559,19520101,20250611,47.7233,10.3348
02564,19740101,20250611,54.3776,10.1424
02565,19400101,19881015,54.3378,10.0929
02573,19870610,20250611,47.9588,12.7717
02575,20070522,20250611,49.1804,9.9800
02578,18650101,20250611,53.9995,11.4341
02597,19460101,20250611,50.2240,10.0792
02600,19821101,20250611,49.7363,10.1781
02601,19360101,20250611,50.2218,8.4469
02609,19740901,19810331,53.9587,10.3293
02618,19580101,20250611,50.8458,10.4803
02621,19560101,19691231,52.4045,13.2134
02627,19960701,20250611,51.5554,13.8845
02629,19041001,20250611,51.7612,6.0954
02638,19470101,20250611,48.1054,8.7548
02641,19941001,20250611,51.5185,12.9065
02649,19371101,19450131,50.9138,11.8616
02654,19490101,19831031,49.0265,8.7554
02656,19700701,19891231,50.3519,7.5906
02657,19510101,20080131,50.3369,7.5992
02664,19460301,19821231,51.1906,11.2436
02665,19360101,19841231,50.9615,6.9712
02667,19570701,20250611,50.8645,7.1575
02680,19510101,20250611,50.2840,10.4456
02689,19500101,19601231,53.2279,9.6527
02691,19940401,20081231,48.6707,11.2173
02693,19420101,20031231,50.1855,8.4698
02698,19580601,19870831,51.6723,11.7791
02700,19610101,20250611,48.8302,11.4872
02701,19450701,20070331,51.1329,11.7252
02703,19980101,20001010,51.8550,9.3239
02704,19550601,20250611,51.7511,12.0094
02708,19910801,20250611,47.6652,11.0805
02712,19590701,20250611,47.6952,9.1307
02713,19470101,19741231,47.6600,9.1649
02717,19890601,20051231,51.2662,8.8309
02738,19710201,19980201,47.6448,11.7438
02750,19490101,20250611,50.2524,11.3209
02757,19610101,19831231,47.9077,7.7020
02758,19800701,19900630,47.9585,7.6578
02760,19280601,19891231,52.2880,12.0707
02761,19510101,19901031,48.2510,10.4163
02770,19730701,19740831,53.9015,10.2359
02773,19740101,20250611,49.4283,11.9016
02775,19460101,19800630,49.2795,9.6925
02780,19600101,19820531,50.1003,11.4494
02783,19660901,19920831,48.5126,12.1513
02790,19700101,19810831,49.5592,7.4134
02794,19450501,20250611,52.9362,12.4093
02796,20000601,20250611,53.9156,12.2790
02798,19750101,19980531,51.6000,6.1500
02812,19500101,20250611,48.3647,7.8280
02814,19490101,20250611,48.5122,9.7644
02821,19480101,19571231,51.9603,10.0157
02829,19690101,20180710,48.0772,10.9144
02830,19500101,19671231,48.0349,10.8709
02831,19470111,20080331,48.5357,12.1132
02856,19930601,20250611,51.9173,13.0878
02857,19470401,19581130,51.1173,10.6568
02861,19510101,19860630,53.7445,7.4775
02872,19470101,19501231,52.8457,7.3489
02878,19470401,20250611,51.3909,11.8786
02879,19490101,19851231,49.5781,9.7142
02886,19700101,20250611,48.2175,9.9097
02889,19710101,19910930,51.6323,10.4737
02897,19900830,20250611,50.5808,9.2857
02905,19690101,20250611,48.1849,10.8507
02906,19510101,19750228,54.7750,8.9808
02907,19741101,20250611,54.7903,8.9514
02912,19560301,19741130,54.7419,9.8791
02915,19470101,19611231,50.4833,11.4500
02920,19780901,19970630,48.7654,12.5121
02923,19550101,19700531,47.9116,10.6124
02925,19570101,20250611,51.3932,10.3123
02926,19710101,19891231,48.4333,10.2333
02928,18631201,20250611,51.3151,12.4462
02931,19570801,19720430,51.3920,12.3962
02932,19340101,20250611,51.4347,12.2396
02947,19620401,20250611,51.1333,8.0348
02949,19470801,20020131,48.5396,9.5275
02950,19620401,20061231,54.2190,10.8844
02951,19941001,20250611,53.1007,11.4864
02953,19610101,20250611,47.8597,8.2308
02954,19870401,20041228,47.8919,8.1788
02961,19980101,20250611,54.4996,10.2737
02963,19460101,19781231,51.3167,12.0333
02968,19450101,20240831,50.9894,6.9777
02985,19910101,20250611,50.9383,14.2094
02996,19470101,19601231,48.7726,8.7287
03001,19650101,19900531,48.0674,7.6770
03004,19490101,19990630,50.4116,8.0605
03007,19470101,19551231,49.4111,8.3980
03015,19060401,20250611,52.2085,14.1180
03016,19700601,19880430,47.5980,9.8878
03017,19840701,20100430,49.6800,8.7823
03018,19730401,20051231,49.7117,8.7804
03023,19510101,20161231,52.5181,7.3081
03028,19510101,20250611,51.7854,8.8388
03031,19801201,20250611,51.6336,8.3945
03032,19370101,20250611,55.0110,8.4125
03034,19520301,20250611,50.4505,11.6350
03042,19930701,20250611,50.5617,8.2386
03044,19210101,20180531,52.7198,7.7472
03045,19930501,20070630,52.7432,7.8763
03046,19800201,19910331,52.7333,7.7333
03056,19470101,20051031,50.0103,9.6100
03062,19510101,19890531,50.0352,7.8197
03076,19470101,19561231,49.4606,8.4246
03082,19670101,19741231,51.9333,13.8833
03083,19911001,20250611,51.9267,13.8797
03085,19500301,19850228,53.8773,10.6915
03086,19850301,20250611,53.8025,10.6989
03088,18900101,19730630,53.8953,10.7040
03093,19541201,20250611,52.9724,11.1374
03096,19400101,19951231,51.2131,7.6359
03098,19940101,20250611,51.2452,7.6425
03101,19500101,19950930,51.7694,7.4128
03103,19470501,19971231,53.2657,10.4240
03113,19910101,19910731,50.7663,10.7201
03126,18810101,20250611,52.1029,11.5827
03135,19550501,19830331,49.0643,9.5820
03137,19480101,20250611,49.9658,8.2049
03138,19790101,19890216,49.9798,8.1668
03139,19831101,20041231,48.2166,11.2965
03145,19981201,20080901,54.1800,10.5528
