station_id,station_name,from_date,to_date,lat,lon,TMK_latest_date,TMK_latest_value,TNK_latest_date,TNK_latest_value,TXK_latest_date,TXK_latest_value,UPM_latest_date,UPM_latest_value
02410,Ingolstadt-Manching,19740101,20250616,48.7111,11.5363,20250616,18.3,,,,,20250616,64.83
02429,Itzehoe,19880301,20250613,53.9897,9.5697,20250612,15.5,20250612,5.7,20250612,22.1,20250612,69.50
02437,Schleswig-Jagel,19710101,20250616,54.4570,9.5203,20250616,16.3,,,,,20250616,76.83
02444,Jena,18210101,20250616,50.9251,11.5830,20250616,18.5,20250616,13.3,20250616,23.4,20250616,66.96
02480,Kahl/Main,19470101,20250616,50.0643,8.9930,20250616,19.1,20250616,13.4,20250616,24.6,20250616,67.96
02483,Kahler,19261101,20250616,51.1803,8.4891,20250616,13.1,20250616,9.1,20250616,16.1,20250616,78.00
02485,Kaisersbach-Cronhütte,20110501,20250616,48.9170,9.6871,20250616,16.2,20250616,9.8,20250616,21.3,20250616,73.25
02486,Kaiserslautern,19010101,20250616,49.4262,7.7557,20250616,18.1,20250616,13.0,20250616,24.5,20250616,71.54
02497,Kall-Sistig,19470101,20250616,50.5014,6.5264,20250616,15.8,20250616,8.6,20250616,21.5,20250616,70.79
02559,Kempten,19520101,20250616,47.7233,10.3348,20250616,15.4,20250616,11.2,20250616,20.2,20250616,78.29
02564,Kiel-Holtenau,19740101,20250616,54.3776,10.1424,20250616,16.5,20250616,12.8,20250616,21.2,20250616,76.21
02575,Kirchberg/Jagst-Herboldshausen,20070522,20250616,49.1804,9.9800,20250616,16.7,20250616,10.4,20250616,21.9,20250616,75.88
02578,Kirchdorf/Poel,18650101,20250616,53.9995,11.4341,20250616,17.2,20250616,14.3,20250616,21.6,20250616,75.92
02597,"Kissingen,",19460101,20250616,50.2240,10.0792,20250616,17.9,20250616,12.4,20250616,23.1,20250616,64.54
02600,Kitzingen,19821101,20250616,49.7363,10.1781,20250616,19.1,20250616,11.3,20250616,25.5,20250616,63.42
02601,Kleiner,19360101,20250616,50.2218,8.4469,20250616,13.7,20250616,8.8,20250616,18.4,20250616,76.13
02618,Kleiner,19580101,20250616,50.8458,10.4803,20250616,13.8,20250616,11.1,20250616,18.0,20250616,75.50
02627,Schipkau-Klettwitz,19960701,20250616,51.5554,13.8845,20250616,17.1,20250616,10.2,20250616,22.1,20250616,74.96
02629,Kleve,19041001,20250616,51.7612,6.0954,20250616,18.1,20250616,9.7,20250616,25.4,20250616,72.50
02638,Klippeneck,19470101,20250616,48.1054,8.7548,20250616,13.6,20250616,10.4,20250616,18.8,20250616,78.21
02641,Klitzschen,19941001,20250616,51.5185,12.9065,20250616,17.9,20250616,11.8,20250616,23.4,20250616,67.21
02667,Köln/Bonn,19570701,20250616,50.8645,7.1575,20250616,17.9,20250616,10.2,20250616,24.2,20250616,71.38
02680,"Königshofen,",19510101,20250616,50.2840,10.4456,20250616,17.2,20250616,8.7,20250616,22.8,20250616,65.25
02700,Kösching,19610101,20250616,48.8302,11.4872,20250616,18.0,20250616,13.9,20250616,22.8,20250616,68.50
02704,Köthen,19550601,20250616,51.7511,12.0094,20250616,18.4,20250616,14.8,20250616,24.0,20250616,69.04
02708,"Kohlgrub,",19910801,20250616,47.6652,11.0805,20250616,15.0,20250616,12.2,20250616,18.4,20250616,80.92
02712,Konstanz,19590701,20250616,47.6952,9.1307,20250616,17.3,20250616,13.0,20250616,22.3,20250616,72.71
02750,Kronach,19490101,20250616,50.2524,11.3209,20250616,17.1,20250616,9.5,20250616,23.2,20250616,69.08
02773,Kümmersbruck,19740101,20250616,49.4283,11.9016,20250616,17.5,,,,,20250616,67.54
02794,Kyritz,19450501,20250616,52.9362,12.4093,20250616,18.0,20250616,12.7,20250616,22.4,20250616,68.75
02796,Laage-Kronskamp,20000601,20250616,53.9156,12.2790,20250616,16.9,,,,,20250616,76.50
02812,Lahr,19500101,20250616,48.3647,7.8280,20250616,19.1,20250616,13.8,20250616,24.1,20250616,72.92
02814,Merklingen,19490101,20250616,48.5122,9.7644,20250616,14.5,20250616,8.8,20250616,19.6,20250616,77.75
02856,Langenlipsdorf,19930601,20250616,51.9173,13.0878,20250616,17.5,20250616,11.3,20250616,22.5,20250616,67.25
