station_id,station_name,data_date,lat,lon,humidity,max_temperature,mean_temperature,min_temperature
02362,Hümmerich,18.06.2025 13:20,50.5651,7.4843,45.9,24.6,23.7,14.1
02429,Itzehoe,18.06.2025 13:20,53.9897,9.5697,66.1,21.7,20.8,11.6
02444,Jena,18.06.2025 13:20,50.9251,11.5830,34.9,28.4,28.2,14.1
02480,Kahl/Main,18.06.2025 13:20,50.0643,8.9930,40.0,28.1,27.5,13.5
02483,Kahler,18.06.2025 13:20,51.1803,8.4891,53.6,21.2,20.5,15.0
02485,Kaisersbach-Cronhütte,18.06.2025 13:20,48.9170,9.6871,45.0,25.5,25.3,9.3
02486,Kaiserslautern,18.06.2025 13:20,49.4262,7.7557,36.5,28.6,26.4,12.5
02497,Kall-Sistig,18.06.2025 13:20,50.5014,6.5264,53.8,23.7,23.7,12.1
02559,Kempten,18.06.2025 13:20,47.7233,10.3348,46.6,25.7,25.6,9.4
02564,Kiel-Holtenau,18.06.2025 13:20,54.3776,10.1424,59.7,21.8,21.4,13.4
02575,Kirchberg/Jagst-Herboldshausen,18.06.2025 13:20,49.1804,9.9800,44.1,25.9,25.9,10.5
02578,Kirchdorf/Poel,18.06.2025 13:20,53.9995,11.4341,55.2,23.1,22.9,14.2
02597,"Kissingen,",18.06.2025 13:20,50.2240,10.0792,37.5,27.9,26.3,11.9
02600,Kitzingen,18.06.2025 13:20,49.7363,10.1781,34.1,29.4,28.3,12.9
02601,Kleiner,18.06.2025 13:20,50.2218,8.4469,50.0,22.2,22.2,15.1
02618,Kleiner,18.06.2025 13:20,50.8458,10.4803,52.0,22.4,21.7,15.0
02627,Schipkau-Klettwitz,18.06.2025 13:20,51.5554,13.8845,34.1,27.9,27.9,13.1
02629,Kleve,18.06.2025 13:20,51.7612,6.0954,46.6,28.1,26.2,12.3
02638,Klippeneck,18.06.2025 13:20,48.1054,8.7548,43.3,24.3,24.3,12.8
02641,Klitzschen,18.06.2025 13:20,51.5185,12.9065,36.7,28.4,27.9,13.1
02667,Köln/Bonn,18.06.2025 13:20,50.8645,7.1575,37.2,26.7,26.5,12.4
02680,"Königshofen,",18.06.2025 13:20,50.2840,10.4456,39.1,27.1,26.8,8.7
02700,Kösching,18.06.2025 13:20,48.8302,11.4872,44.3,26.6,26.4,11.7
02704,Köthen,18.06.2025 13:20,51.7511,12.0094,33.7,28.5,28.3,16.1
02708,"Kohlgrub,",18.06.2025 13:20,47.6652,11.0805,47.1,25.3,25.1,9.7
02712,Konstanz,18.06.2025 13:20,47.6952,9.1307,40.9,27.3,26.9,11.8
02750,Kronach,18.06.2025 13:20,50.2524,11.3209,33.6,27.6,27.3,10.0
02794,Kyritz,18.06.2025 13:20,52.9362,12.4093,50.4,25.2,24.6,10.9
02812,Lahr,18.06.2025 10:50,48.3647,7.8280,43.0,26.4,26.3,13.6
02814,Merklingen,18.06.2025 13:20,48.5122,9.7644,48.3,24.0,23.9,7.9
02856,Langenlipsdorf,18.06.2025 13:20,51.9173,13.0878,28.5,27.8,27.5,13.0
02878,"Lauchstädt,",18.06.2025 13:20,51.3909,11.8786,41.6,27.0,26.0,12.9
02907,Leck,18.06.2025 13:20,54.7903,8.9514,74.1,20.6,19.5,14.4
02925,Leinefelde,18.06.2025 13:20,51.3932,10.3123,47.7,24.2,24.0,12.7
02928,Leipzig-Holzhausen,18.06.2025 13:20,51.3151,12.4462,40.7,27.2,26.7,14.0
02932,Leipzig/Halle,18.06.2025 13:20,51.4347,12.2396,45.5,26.7,26.4,14.9
02947,Lennestadt-Theten,18.06.2025 13:20,51.1333,8.0348,42.5,25.3,24.7,10.7
02951,Lenzen/Elbe,18.06.2025 13:20,53.1007,11.4864,46.8,24.9,24.6,12.5
02953,Lenzkirch-Ruhbühl,18.06.2025 13:20,47.8597,8.2308,38.6,25.5,25.4,8.7
02961,Leuchtturm,18.06.2025 13:30,54.4996,10.2737,70.1,19.6,19.2,14.5
02985,Lichtenhain-Mittelndorf,18.06.2025 13:20,50.9383,14.2094,45.4,25.5,25.4,12.3
03015,Lindenberg,18.06.2025 13:30,52.2085,14.1180,34.0,27.1,26.9,16.0
03028,"Lippspringe,",18.06.2025 13:20,51.7854,8.8388,45.4,25.4,24.2,11.7
03031,Lippstadt-Bökenförde,18.06.2025 13:20,51.6336,8.3945,45.1,26.7,26.5,11.8
03032,List,18.06.2025 13:30,55.0110,8.4125,71.1,18.8,17.4,14.8
03034,"Lobenstein,",18.06.2025 13:20,50.4505,11.6350,42.0,26.1,26.1,9.3
03042,Löhnberg-Obershausen,18.06.2025 13:20,50.5617,8.2386,40.2,26.2,25.7,11.1
03083,Lübben-Blumenfelde,18.06.2025 13:20,51.9267,13.8797,34.3,29.0,28.6,13.4
03086,Lübeck-Blankensee,18.06.2025 13:30,53.8025,10.6989,55.2,23.7,22.9,12.9
03093,Lüchow,18.06.2025 13:20,52.9724,11.1374,49.4,24.7,24.7,10.7
03098,Lüdenscheid,18.06.2025 13:20,51.2452,7.6425,49.1,24.3,24.2,12.6
03126,Magdeburg,18.06.2025 13:20,52.1029,11.5827,42.4,26.9,26.9,15.2
03137,Mainz-Lerchenberg,18.06.2025 13:20,49.9658,8.2049,38.3,27.0,26.7,15.4
03147,Mallersdorf-Pfaffenberg-Oberlindhart,18.06.2025 13:20,48.7548,12.2118,43.7,26.5,26.5,10.2
03155,Manderscheid-Sonnenhof,18.06.2025 13:20,50.1015,6.8009,38.8,25.3,25.1,11.0
03158,Manschnow,18.06.2025 10:20,52.5468,14.5453,41.9,26.6,26.4,13.8
03164,"Cölbe,",18.06.2025 13:20,50.8492,8.7745,37.4,28.5,28.5,12.0
03166,Marienberg,18.06.2025 13:20,50.6511,13.1469,52.9,22.7,22.4,13.5
03167,"Marienberg,",18.06.2025 13:20,50.6621,7.9603,52.1,23.0,22.3,16.3
03181,Markt,18.06.2025 13:20,49.4875,10.6277,38.4,27.3,26.6,9.5
03196,Marnitz,18.06.2025 13:20,53.3221,11.9324,58.6,23.4,23.1,14.2
03204,Martinroda,18.06.2025 13:20,50.7335,10.8815,38.2,26.6,26.0,11.8
03226,Aschersleben-Mehringen,18.06.2025 13:20,51.7259,11.5109,39.8,26.5,26.1,12.6
03231,Meiningen,18.06.2025 13:20,50.5611,10.3771,38.9,25.7,24.5,12.9
03234,Klipphausen-Garsebach,18.06.2025 13:20,51.1294,13.4328,41.5,27.0,27.0,11.1
03244,Memmingen,18.06.2025 13:20,47.9821,10.1384,41.9,25.7,25.5,9.0
03257,"Mergentheim,",18.06.2025 13:20,49.4797,9.7832,35.4,27.9,27.6,11.3
03268,Meßstetten-Appental,18.06.2025 13:20,48.1694,8.9433,43.5,23.2,23.2,7.2
03271,Metten,18.06.2025 13:20,48.8548,12.9189,47.2,26.7,26.1,11.4
03278,Metzingen,18.06.2025 13:20,48.5377,9.2734,34.6,27.5,27.5,12.1
03284,Michelstadt,18.06.2025 13:20,49.6692,9.0085,35.8,27.9,27.2,12.1
03287,Michelstadt-Vielbrunn,18.06.2025 13:20,49.7177,9.0997,42.6,25.3,25.0,16.9
03289,Schmieritz-Weltwitz,18.06.2025 13:20,50.7281,11.7838,44.6,26.3,26.3,11.9
03307,Mittenwald-Buckelwiesen,18.06.2025 13:20,47.4814,11.2649,53.8,23.2,23.2,9.3
03319,Röllbach,18.06.2025 13:20,49.7644,9.2530,41.3,27.5,27.1,11.4
03321,Mönchengladbach-Hilderath,18.06.2025 13:20,51.1313,6.3608,38.8,26.4,25.8,14.0
03348,Moringen-Lutterbeck,18.06.2025 13:20,51.7209,9.8351,42.4,26.2,24.8,12.4
03362,Mühlacker,18.06.2025 13:20,48.9721,8.8735,44.1,27.4,27.1,10.2
03366,Mühldorf,18.06.2025 13:20,48.2790,12.5024,38.6,27.2,26.7,8.7
03376,Müncheberg,18.06.2025 13:20,52.5176,14.1232,43.1,26.5,25.6,12.9
03379,München-Stadt,18.06.2025 13:20,48.1632,11.5429,28.9,27.4,26.9,12.0
03402,Münsingen-Apfelstetten,18.06.2025 13:20,48.3851,9.4837,50.4,24.7,24.2,9.8
03426,"Muskau,",18.06.2025 13:20,51.5660,14.7008,33.9,27.7,27.7,10.8
03442,"Nauheim,",18.06.2025 13:20,50.3574,8.7506,36.2,28.7,28.6,13.1
03485,Neuburg/Kammel-Langenhaslach,18.06.2025 13:20,48.3114,10.3773,47.7,26.1,25.9,10.0
03490,"Neuenahr,",18.06.2025 13:20,50.5346,7.0853,50.6,26.2,25.6,15.0
03509,Stechlin-Menz,18.06.2025 13:20,53.1020,13.0421,52.6,23.5,23.3,11.2
03513,Neuhaus,18.06.2025 13:20,50.5003,11.1345,47.2,22.5,22.2,13.7
03527,Neukirchen-Hauptschwenda,18.06.2025 13:20,50.8923,9.4050,43.3,24.4,23.9,14.9
03540,Neunkirchen-Seelscheid-Krawinkel,18.06.2025 13:20,50.8446,7.3720,42.5,26.7,26.7,12.4
03545,Neunkirchen-Wellesweiler,18.06.2025 13:20,49.3440,7.2297,36.8,28.6,28.6,11.3
03571,Neustadt,18.06.2025 13:20,49.8174,11.8638,43.7,26.3,24.9,9.7
03591,Nideggen-Schmidt,18.06.2025 13:20,50.6743,6.4240,41.0,25.2,24.9,12.9
03612,Nienburg,18.06.2025 13:20,52.6711,9.2229,41.8,27.2,27.2,11.4
03621,Reimlingen,18.06.2025 13:20,48.8253,10.5067,43.7,25.9,25.5,10.0
03631,Norderney,18.06.2025 13:20,53.7123,7.1519,70.7,20.4,19.1,15.6
03660,Nürburg-Barweiler,18.06.2025 13:20,50.3602,6.8697,54.4,24.1,22.7,12.5
03667,Nürnberg-Netzstall,18.06.2025 13:20,49.4258,11.2539,34.5,27.5,27.4,8.4
03668,Nürnberg,18.06.2025 13:20,49.5030,11.0549,36.6,28.1,27.8,11.9
03679,Kiefersfelden-Gach,18.06.2025 13:20,47.6187,12.1665,53.5,26.5,26.5,10.8
03730,Oberstdorf,18.06.2025 13:20,47.3984,10.2759,50.3,25.7,25.7,8.6
03734,Obersulm-Willsbach,18.06.2025 13:20,49.1280,9.3525,40.1,28.2,28.0,12.5
03739,Oberviechtach,18.06.2025 13:20,49.4521,12.4365,49.7,24.3,24.2,11.6
03761,Öhringen,18.06.2025 13:20,49.2070,9.5176,40.7,27.4,27.2,13.5
03811,Oschatz,18.06.2025 13:20,51.2960,13.0928,42.0,27.2,26.4,14.8
03821,Osterfeld,18.06.2025 13:20,51.0872,11.9293,44.1,26.3,26.3,14.4
03836,Ostheim,18.06.2025 13:20,50.4538,10.2211,36.7,27.8,26.5,10.0
03857,Oy-Mittelberg-Petersthal,18.06.2025 13:20,47.6362,10.3892,47.3,25.0,24.5,9.1
03875,Parsberg/Oberpfalz-Eglwang,18.06.2025 13:20,49.1510,11.6897,41.4,25.9,25.7,11.1
03897,Pelzerhaken,18.06.2025 13:20,54.0893,10.8773,51.5,23.1,22.2,14.2
03904,Perl-Nennig,18.06.2025 13:20,49.5354,6.3789,37.6,28.1,27.8,11.2
03925,Pforzheim-Ispringen,18.06.2025 13:20,48.9329,8.6973,44.6,26.8,26.4,11.9
03927,Pfullendorf,18.06.2025 13:20,47.9345,9.2869,39.3,25.9,25.9,8.1
03939,Pirmasens,18.06.2025 13:20,49.1912,7.5879,39.7,26.6,26.6,13.5
03946,Plauen,18.06.2025 13:20,50.4818,12.1300,47.0,25.5,24.8,11.1
03975,Pommelsbrunn-Mittelburg,18.06.2025 13:20,49.4777,11.5357,41.4,25.6,24.9,12.8
03987,Potsdam,18.06.2025 13:30,52.3812,13.0622,40.4,28.1,27.1,16.2
04024,Putbus,18.06.2025 13:30,54.3643,13.4771,64.4,20.8,20.4,15.2
